date,demand_mwh,year,month,week,day_of_week,is_weekend,is_holiday,is_day_before_holiday,is_day_after_holiday,is_bridge_day,temperature_mean_c,temperature_max_c,temperature_min_c,precipitation_mm,wind_speed_max_kmh,solar_radiation_mj_m2,city_temperature_spread_c,temperature_range_c,heating_degree_days,cooling_degree_days,day_of_year_sin,day_of_year_cos,week_of_year_sin,week_of_year_cos,lag_1,lag_7,lag_14,lag_28,lag_364,rolling_mean_7,rolling_mean_28,rolling_mean_56,rolling_std_7,rolling_std_28,lag_1_minus_7
2019-12-31,656514.303,2019,12,1,1,False,False,True,False,False,8.58,14.540000000000001,4.74,0.0,9.48,8.516,6.4,9.8,9.42,0.0,-0.004300592702981974,0.9999907524084426,0.12012289230803276,0.9927590295452128,689973.969,622147.62,786945.087,794071.443,582949.806,632024.7878571429,715329.23775,731100.7586607143,48087.790248359204,77444.167803722,67826.34900000005
2020-01-01,574776.72,2020,1,1,2,False,True,False,False,False,8.32,13.98,4.66,0.0,8.780000000000001,8.804,6.999999999999999,9.32,9.68,0.0,0.017201575418260506,0.9998520419557735,0.12012289230803276,0.9927590295452128,656514.303,541452.518,792257.443,802721.404,742199.407,636934.314,710416.4827499999,729897.0636250001,48662.21532880762,76622.75398402207,115061.78499999992
2020-01-02,723522.375,2020,1,1,3,False,False,False,True,False,7.860000000000001,13.3,4.54,0.0,10.8,8.792,5.6000000000000005,8.760000000000002,10.139999999999999,0.0,0.03439806061360801,0.9994082116062598,0.12012289230803276,0.9927590295452128,574776.72,632220.615,793728.479,797187.595,787764.963,641694.9142857142,702275.6011785715,727182.3078035713,38288.851996293226,78537.6837205762,-57443.89500000002
2020-01-03,754645.342,2020,1,1,4,False,False,False,False,False,7.8,12.0,4.66,0.13999999999999999,9.260000000000002,6.444000000000001,7.000000000000001,7.34,10.2,0.0,0.051584366869408364,0.9986686402879997,0.12012289230803276,0.9927590295452128,723522.375,674150.472,757483.61,687010.235,796010.035,654738.0228571428,699644.7004642858,726907.6246785714,48667.80135900005,76446.5106099882,49371.90300000005
2020-01-04,702390.878,2020,1,1,5,True,False,False,False,False,8.74,13.8,5.58,0.22000000000000003,12.420000000000002,8.112,6.6,8.22,9.26,0.0,0.06875540848113941,0.9976335468520451,0.12012289230803276,0.9927590295452128,754645.342,646963.129,666815.843,677745.106,721029.651,666237.2899999999,702060.2400000001,727042.4504285714,61766.126851675624,77098.28459367884,107682.21299999999
2020-01-05,651967.486,2020,1,1,6,True,False,True,False,False,8.7,14.66,4.620000000000001,0.0,11.18,9.074,7.199999999999999,10.04,9.3,0.0,0.08590610426133272,0.9963032375991965,0.12012289230803276,0.9927590295452128,702390.878,617265.192,621188.286,653010.122,661772.168,674155.5398571428,702940.4461428571,727535.1615714285,62432.66297241447,76950.95079837891,85125.68599999999
2020-01-06,630259.532,2020,1,2,0,False,True,False,False,False,7.9,14.120000000000001,3.8200000000000003,0.0,9.46,8.942,4.9,10.3,10.1,0.0,0.10303137904317879,0.9946781061893646,0.23850617198777344,0.9711409814871055,651967.486,689973.969,675581.844,731497.032,764920.771,679113.0104285714,702903.2091428572,727951.9929107142,58410.59676742065,76976.25534539619,-38006.48300000001
2020-01-07,789031.621,2020,1,2,1,False,False,False,True,False,8.56,15.440000000000001,4.08,0.0,9.360000000000001,9.326,6.700000000000001,11.360000000000001,9.44,0.0,0.1201261651823505,0.9927586335250793,0.23850617198777344,0.9711409814871055,630259.532,656514.303,622147.62,794421.564,844559.085,670582.3765714286,699287.5841428571,725678.7789285715,60868.83004160861,77954.81721658044,-26254.77099999995
2020-01-08,820143.678,2020,1,2,2,False,False,False,False,False,9.22,16.080000000000002,4.36,0.0,8.920000000000002,8.804,5.800000000000001,11.720000000000002,8.78,0.0,0.13718540405660057,0.9905453876091833,0.23850617198777344,0.9711409814871055,789031.621,574776.72,541452.518,810110.768,846151.453,689513.422,699095.0861785716,725955.6961428572,74781.58002739644,77717.49069337119,214254.90100000007
2020-01-09,820769.614,2020,1,2,3,False,False,False,False,False,9.26,14.96,5.359999999999999,0.5,13.180000000000001,8.702,4.800000000000001,9.600000000000001,8.74,0.0,0.1542040475626894,0.988039023376751,0.23850617198777344,0.9711409814871055,820143.678,723522.375,632220.615,825121.76,857323.124,724565.8445714286,699453.4043928572,726729.0924821428,69345.45763575085,78269.45639275834,96621.30299999996
2020-01-10,814759.827,2020,1,2,4,False,False,False,False,False,9.68,13.620000000000001,6.640000000000001,2.6,17.520000000000003,7.034,5.0,6.98,8.32,0.0,0.17117705961019986,0.985240282501282,0.23850617198777344,0.9711409814871055,820769.614,754645.342,674150.472,793677.004,867181.886,738458.3072857143,699297.9706071429,727197.5276428572,78268.58432124907,78014.55736672327,66124.272
2020-01-11,732531.725,2020,1,2,5,True,False,False,False,False,8.52,13.86,4.62,0.0,10.72,9.5,7.199999999999999,9.239999999999998,9.48,0.0,0.18809941761179758,0.9821499931752291,0.23850617198777344,0.9711409814871055,814759.827,702390.878,646963.129,703955.843,775170.712,747046.0908571428,700050.9285714285,727561.0943571428,83466.04038079904,79054.00995016535,112368.94900000002
2020-01-12,693449.101,2020,1,2,6,True,False,False,False,False,6.92,13.82,1.8600000000000003,0.0,10.14,9.762,7.699999999999999,11.96,11.08,0.0,0.20496611396949532,0.9787690698649216,0.23850617198777344,0.9711409814871055,732531.725,651967.486,617265.192,660219.604,722271.171,751351.9261428571,701071.4957857142,727918.5192857143,81533.50705840658,79290.38879219572,80564.23899999994
2020-01-13,829157.906,2020,1,3,0,False,False,False,False,False,6.86,12.760000000000002,2.3000000000000003,0.0,13.260000000000002,8.688,6.6000000000000005,10.46,11.14,0.0,0.22177215755648186,0.975098513039961,0.35343541937821843,0.9354589271202359,693449.101,630259.532,689973.969,780295.07,835752.36,757277.8711428571,702258.2635357141,728279.81375,74292.13629031609,78904.0353670399,63189.56900000002
