dimension,cohort,days,mae_mwh,rmse_mwh,smape_pct,wape_pct,bias_mwh,mase_7d
month,01,31,12663.695022048005,14715.569383184158,1.7201237633226218,1.7114293079065672,-5187.874472960608,
month,02,28,8111.729397988309,9409.885536197546,1.1149127807153238,1.1208315190858806,-1004.9077469980236,
month,03,31,11354.080016779124,14714.432966691495,1.6507897315058848,1.6088313991984617,-2525.7583235669244,
month,04,30,19809.078817691505,44209.373620686514,3.3809583554466958,3.163744254754278,7825.307625707612,
month,05,31,10648.110530159332,13617.515521749241,1.6973764008752903,1.688133729194487,-6367.329211144703,
month,06,30,13818.840603099317,17370.693248904812,1.8752537954248398,1.8962318110010803,-9681.58633777841,
month,07,31,17126.866923763235,20896.717528507615,2.2697351436678384,2.2563068602581247,-6356.678532842832,
month,08,31,13054.942651622981,15604.75835951159,1.8138524100964255,1.8135460963202457,3568.7420570928107,
month,09,30,10580.760847238098,13454.435220109903,1.5236926544783649,1.524122190776437,1434.9516493468973,
month,10,31,7998.051350263995,9830.295694822182,1.235388728480589,1.21122406419438,-788.0432679520792,
month,11,30,9262.990224902514,11655.65524254729,1.3239127402461681,1.3175487636867693,-7321.8406290675475,
month,12,31,14730.45311567193,18890.81032465333,2.0123027801821975,2.0079831208597874,-5345.0380816762445,
weekday,Friday,52,11325.87686306866,13970.972956590023,1.5551509216851174,1.5552977229543916,-4436.278085294298,
weekday,Monday,52,20257.099312621922,37083.95351559708,3.083205532178085,2.8419615056810748,-4479.508649428095,
weekday,Saturday,52,9296.761367911326,11267.35716751786,1.4305857196103147,1.4224549085356601,2061.8150323601662,
weekday,Sunday,52,10172.8563725862,13217.221369864803,1.640593534014048,1.6519769340864696,-3865.8632100292184,
weekday,Thursday,52,11863.626041172254,15342.069305978288,1.629201720571339,1.6180406796720663,-1509.892056115914,
weekday,Tuesday,52,10884.605864232815,13541.656937040996,1.469995614931465,1.479127809812007,-3854.8437815345847,
weekday,Wednesday,53,13367.882700534667,16748.516305542656,1.8238604470654372,1.820166162373754,-2586.7196885297176,
temperature_regime,cold_below_8c,10,12679.24524167513,15000.329721191803,1.7078473121145015,1.7061271679319696,-8213.935588821583,
temperature_regime,cool_8_to_16c,156,11442.724008927746,14797.501279740982,1.6237360610322826,1.6092841640249278,-3335.434785596699,
temperature_regime,hot_24c_plus,85,14017.337918334744,17446.70994249425,1.8834750028603555,1.8862230246716256,-7802.76783166825,
temperature_regime,mild_16_to_24c,114,12656.224605116226,25080.156215550564,2.002123228461895,1.930565981092246,2563.2335582354913,
