month,total_demand_mwh,avg_daily_demand_mwh,max_daily_demand_mwh
2019-01-01,24566154.547,792456.5982903226,867181.886
2019-02-01,21280529.205000002,760018.9001785715,827865.952
2019-03-01,21935545.635999996,707598.2463225805,767457.592
2019-04-01,20692209.649000008,689740.3216333336,762514.952
2019-05-01,21134292.129,681751.359,723789.614
2019-06-01,21258958.649,708631.9549666666,821152.543
2019-07-01,24223991.169999994,781419.0699999998,860191.27
2019-08-01,22710929.179,732610.6186774194,795638.987
2019-09-01,21297712.005,709923.7335,802739.777
2019-10-01,21454847.17,692091.8441935484,741441.646
2019-11-01,21997760.930999998,733258.6976999999,821576.303
2019-12-01,22110920.732,713255.507483871,825121.76
2020-01-01,23826282.724,768589.7652903226,862132.604
2020-02-01,20980969.956999995,723481.7226551722,772488.589
2020-03-01,20926733.362000003,675055.914903226,769321.188
2020-04-01,17060911.994,568697.0664666666,608880.705
2020-05-01,18308083.840000004,590583.3496774195,644707.726
2020-06-01,19358582.115999997,645286.0705333332,752302.735
2020-07-01,23194421.105,748207.1324193549,825275.946
2020-08-01,22065111.347999997,711777.7854193548,797890.754
2020-09-01,20498509.843,683283.6614333333,751556.717
2020-10-01,20693485.205,667531.7808064516,715705.336
2020-11-01,20698566.523000006,689952.2174333335,766690.677
2020-12-01,22438961.596,723837.4708387097,807771.695
2021-01-01,23909484.894000005,771273.7062580647,875118.684
2021-02-01,20182155.276,720791.2598571429,789357.66
2021-03-01,21823050.887000006,703969.3834516131,758352.519
2021-04-01,19940221.824999996,664674.0608333332,722238.709
2021-05-01,20346648.963999994,656343.5149677418,698169.314
2021-06-01,20728356.540999997,690945.2180333332,759440.415
2021-07-01,22922255.761000004,739427.6051935485,807661.031
2021-08-01,22059793.279000003,711606.2348064517,762760.446
2021-09-01,20972956.058,699098.5352666666,778331.589
2021-10-01,20197477.971,651531.5474516129,695359.374
2021-11-01,21433492.691999998,714449.7564,788505.669
2021-12-01,22029944.636999995,710643.3753870965,800194.435
2022-01-01,22729295.932000004,733203.0945806453,813885.767
2022-02-01,20168155.371000003,720291.2632500001,774260.763
2022-03-01,21475748.762000002,692766.0890967742,743386.909
2022-04-01,19589011.223,652967.0407666668,762729.139
2022-05-01,20301232.669999998,654878.4732258064,716668.676
2022-06-01,21330346.609,711011.5536333334,816499.073
2022-07-01,23635939.165999997,762449.650516129,836727.903
2022-08-01,22009668.436000004,709989.3043870969,800030.828
2022-09-01,20311958.98,677065.2993333334,746416.15
2022-10-01,19330113.115000006,623552.0359677421,683996.794
2022-11-01,19301765.718000002,643392.1906000001,724740.32
2022-12-01,20287656.711999997,654440.5390967741,732934.204
2023-01-01,22134026.291,714000.8480967742,825630.213
2023-02-01,20560235.179999996,734294.1135714285,808031.458
2023-03-01,20639711.232000005,665797.1365161291,796204.01
2023-04-01,18316734.300000004,610557.8100000002,666829.312
2023-05-01,19243367.373000003,620753.7862258066,668097.149
2023-06-01,19973380.276,665779.3425333333,777596.436
2023-07-01,22799599.053999998,735470.9372258064,837501.706
2023-08-01,21829565.952999994,704179.5468709676,806257.924
2023-09-01,19762754.890000004,658758.4963333334,718709.335
2023-10-01,19990082.144,644841.359483871,699421.954
2023-11-01,20113191.795,670439.7265000001,737005.018
2023-12-01,21302390.025000002,687173.8717741936,781442.119
2024-01-01,22353571.734,721082.9591612903,818554.39
2024-02-01,20335524.431,701224.9803793104,755078.183
2024-03-01,20714646.058,668214.3889677419,749031.934
2024-04-01,19297307.064999998,643243.5688333332,694646.131
2024-05-01,19541304.510999996,630364.6616451612,684233.4
2024-06-01,19647475.567,654915.8522333334,721054.708
2024-07-01,22776696.191000003,734732.1351935485,814439.123
2024-08-01,22457895.434,724448.2398064516,822334.593
2024-09-01,19951121.613,665037.3871,749492.829
2024-10-01,20340919.008999996,656158.6777096773,704137.965
2024-11-01,19908555.216000002,663618.5072000001,730708.457
2024-12-01,21674632.330000006,699181.6880645163,809721.081
2025-01-01,22938402.648,739948.472516129,837533.046
2025-02-01,20264278.731999997,723724.2404285714,796255.651
2025-03-01,21877772.941000003,705734.6110000001,770472.372
2025-04-01,18783830.697999995,626127.6899333332,718951.132
2025-05-01,19553630.185,630762.2640322581,715887.756
2025-06-01,21862581.129999995,728752.7043333332,837662.946
2025-07-01,23531057.94200001,759066.3852258067,861178.961
2025-08-01,22315574.058000002,719857.2276774194,790921.696
2025-09-01,20826599.556000005,694219.9852000002,777066.321
2025-10-01,20470167.262,660327.9761935483,702111.01
2025-11-01,21091417.214,703047.2404666668,798053.606
2025-12-01,22741428.542999998,733594.4691290322,837451.359
